FiscalYear,TotalGrants,TotalFunding
2008,139,52715985
2009,185,76709047
2010,194,86875760
2011,154,63138105
2012,150,73640135
2013,141,63757316
2014,129,68942324
2015,129,61000082
2016,128,62849315
2017,115,50211431
