FiscalYear,TotalGrants,TotalFunding
2008,166,65656083
2009,211,75701305
2010,207,75029876
2011,183,69178112
2012,171,74544487
2013,142,58815321
2014,131,53789848
2015,121,50621801
2016,123,54806209
2017,125,50611417
