FiscalYear,TotalGrants,TotalFunding
2008,212,89587998
2009,263,116406771
2010,281,135263563
2011,274,143530453
2012,286,136049171
2013,263,115780196
2014,244,106073973
2015,267,122890754
2016,268,136919330
2017,257,130640686
