FiscalYear,TotalGrants,TotalFunding
2008,945,371522781
2009,1153,476714157
2010,1187,518439506
2011,1099,447326062
2012,1046,452446714
2013,942,414573745
2014,906,416804463
2015,893,396353606
2016,957,454834718
2017,1011,492782802
