FiscalYear,TotalGrants,TotalFunding
2008,9,6251862
2009,7,7020126
2010,9,9657650
2011,10,6659252
2012,11,11837300
2013,11,12316417
2014,13,17677062
2015,10,8565985
2016,7,7802684
2017,5,6900898
