FiscalYear,TotalGrants,TotalFunding
2008,1,232920
2009,3,533511
2010,3,579811
2011,2,912973
2012,4,6026381
2013,5,7024637
2014,4,6668418
2015,7,3533803
2016,10,6019728
2017,7,2282114
