FiscalYear,TotalGrants,TotalFunding
2008,9,2452147
2009,7,7787386
2010,11,8018222
2011,10,6613114
2012,8,9092895
2013,6,10132006
2014,5,10625806
2015,4,3955401
2016,5,6335410
2017,4,6177664
