FiscalYear,TotalGrants,TotalFunding
2008,37,9513784
2009,49,13337000
2010,48,14322002
2011,47,14871745
2012,49,13479162
2013,46,13355506
2014,37,11896802
2015,37,13097499
2016,41,14331830
2017,37,13549864
