FiscalYear,TotalGrants,TotalFunding
2008,284,97291343
2009,356,136868808
2010,419,173390257
2011,416,182295594
2012,416,183410038
2013,392,166348961
2014,365,148070989
2015,346,139068934
2016,354,156170564
2017,365,175233625
