FiscalYear,TotalGrants,TotalFunding
2008,15,5218087
2009,22,9872606
2010,25,21238005
2011,24,9319722
2012,27,19181229
2013,25,15264705
2014,24,15572075
2015,21,10546880
2016,26,14229709
2017,18,9732119
