FiscalYear,TotalGrants,TotalFunding
2008,61,20719521
2009,82,27943168
2010,82,28384598
2011,66,24869953
2012,66,25764483
2013,55,19058983
2014,44,13983252
2015,42,15344114
2016,45,18462297
2017,46,19295117
