FiscalYear,TotalGrants,TotalFunding
2008,19,6790682
2009,21,8849313
2010,24,11382401
2011,19,10319225
2012,18,11567135
2013,17,14691340
2014,22,13552588
2015,29,18867091
2016,25,17152841
2017,29,21835851
