FiscalYear,TotalGrants,TotalFunding
2008,300,135592829
2009,376,186541852
2010,380,199718178
2011,397,193260866
2012,378,189159508
2013,342,182020479
2014,332,175985565
2015,341,170239394
2016,353,163603109
2017,388,179708382
