FiscalYear,TotalGrants,TotalFunding
2008,439,132858249
2009,578,180643530
2010,560,259541590
2011,466,184256236
2012,475,184177804
2013,420,175540851
2014,443,198943191
2015,478,171642196
2016,512,200760449
2017,571,241165069
