FiscalYear,TotalGrants,TotalFunding
2008,4,282556
2009,3,849354
2010,3,824519
2011,5,2713634
2012,4,2914966
2013,3,3136595
2014,3,2351848
2015,5,2538827
2016,5,1371982
2017,3,2081153
