FiscalYear,TotalGrants,TotalFunding
2008,32,10830424
2009,46,16545951
2010,52,17454825
2011,44,15089461
2012,46,15324369
2013,48,16786504
2014,44,15274581
2015,52,24809940
2016,66,31686501
2017,65,31827690
